,Dnaja3,Camk2n1,Fau,Terf2,Dis3l2,Tmem147,Abhd14a,Sh3bgrl2,Psma3l,Uqcr11,Tmem126a,Irf4,Hyou1,Mgst3,LOC100909510,Rbm22,Dbnl,Mad2l1,Ppm1b,Nme7,Trappc6a,Nabp2,Invs,Hist1h4m,Fuca2,Hypk,Crh,Rnh1,Hnrnpa3,Klc1,Usp9x,Lcn2,Spsb2,LOC498154,Zmynd11,Gps1,Paqr7,Tmsb4x,Sept7,Rps27a,Add3,Spint2,Twsg1,Rab3il1,Mrps21,Trappc2b,Nsun5,Ost4,Maged2,Sprn,Erp44,Mcam,Hap1,Plcd1,Pomp,Lrrc46,Nmi,Ndufs8,Rpp40,Esd,Mgarp,RGD735065,Cox20,Cpt2,Thumpd3,Hspa1b,Edf1,Sf3b6,Tmem59l,Nat2,Rassf1,Myl6,Cenpk,Rarg,Plod2,Ndufb4,Cdk10,Shank2,Mrpl4,Ndufa2,Mis18bp1,Ifit3,Hras,Cox5b,Diaph3,Uck2,Gemin8,Mfsd10,Ddah2,Chmp1b,Syn2,Gnpda2,Arsk,Eif2b2,Carm1,Cln3,Tmem170a,Tmem50a
body,2,1,0,0,3,0,0,0,5,0,0,1,29,0,0,0,4,0,5,6,0,0,5,6,0,0,5,1,9,5,1,7,0,0,2,1,0,1,13,8,1,1,0,1,0,0,0,0,1,0,3,0,9,5,0,3,0,0,0,1,0,0,0,13,0,26,1,6,1,1,0,30,0,37,3,0,22,1,0,0,0,1,26,1,5,0,0,0,0,20,4,8,0,0,6,0,0,1
network,15,0,0,0,4,1,0,0,4,0,0,3,21,2,0,1,9,2,22,10,1,0,6,0,0,0,0,0,16,2,0,4,1,0,0,0,0,1,8,8,4,2,0,7,1,1,3,0,4,0,1,0,1,3,0,0,0,11,0,1,0,0,1,4,0,27,7,6,1,0,2,16,1,33,0,0,30,0,4,1,0,0,50,2,10,2,0,0,0,3,2,2,0,1,4,1,0,2
isoforms,1,2,0,0,0,0,0,0,7,0,0,0,14,0,0,0,5,2,1,12,0,0,2,2,1,0,0,4,26,1,0,1,0,0,1,0,3,2,10,1,2,2,0,0,0,0,1,0,1,0,1,5,2,21,0,1,0,1,0,0,0,0,0,6,0,17,1,5,0,5,3,34,0,43,5,0,20,6,0,0,0,0,17,0,6,3,0,0,5,0,3,1,0,0,5,0,0,0
oocyte,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,28,22,3,1,0,3,0,0,0,6,1,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,24,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,2,0,8,0,0,35,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0
antibody,5,2,1,0,3,0,0,1,6,0,1,1,31,0,0,1,7,0,5,14,0,1,3,8,1,0,1,5,12,1,0,17,0,0,1,1,3,3,16,9,3,10,0,0,0,0,0,0,14,0,0,11,2,20,1,4,0,1,0,0,1,1,0,2,0,38,1,7,0,0,1,16,0,16,0,0,31,5,1,0,0,3,18,1,1,3,1,0,1,2,2,3,0,0,15,0,0,1
fusion,9,0,3,6,3,0,0,1,3,0,0,3,22,0,0,3,3,2,14,7,1,0,0,4,1,1,0,0,8,2,1,1,0,0,1,2,1,1,23,7,1,1,1,2,0,2,1,1,5,1,0,1,5,17,0,0,0,1,0,1,0,0,0,2,0,23,2,6,0,0,1,18,1,19,0,0,18,1,4,0,0,1,49,1,4,2,0,2,0,3,3,5,0,1,18,1,0,0
endogenous,4,2,1,1,1,0,0,3,4,0,0,0,25,1,0,0,3,2,16,2,0,0,2,1,1,1,2,4,19,4,1,5,3,0,1,1,0,0,5,13,2,7,1,0,0,0,0,0,4,2,0,2,5,3,0,1,0,0,0,1,0,0,0,3,0,24,2,3,2,10,4,9,0,83,1,0,32,3,0,2,0,2,34,1,3,2,0,1,18,1,4,0,0,1,24,2,0,0
myosin,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,149,0,2,0,0,2,0,0,0,0,0,10,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0
map,6,0,0,0,7,1,0,2,12,0,3,4,19,5,1,1,4,1,15,9,3,0,3,3,2,0,3,9,18,6,1,4,6,1,4,2,0,0,13,6,2,3,1,0,1,3,3,0,3,4,0,1,3,11,0,4,0,5,0,1,0,0,0,3,0,23,2,0,0,2,0,27,1,25,2,0,31,0,9,1,0,1,33,4,2,2,0,0,1,0,5,6,1,1,8,1,0,0
nucleus,4,0,0,0,3,0,0,1,5,0,0,1,27,1,0,3,2,1,22,4,0,2,0,4,0,0,5,3,21,5,0,1,0,0,0,3,0,2,9,12,5,0,0,1,0,3,1,0,4,1,1,1,2,19,0,3,0,0,0,0,0,0,0,2,0,27,6,8,0,0,2,10,0,32,0,0,39,0,1,0,0,1,12,2,5,3,1,0,0,1,3,1,0,0,26,0,0,0
metabolic,19,0,0,0,5,1,0,0,8,0,0,3,21,2,0,1,2,0,13,21,0,1,0,4,4,0,0,2,3,3,1,1,0,0,0,0,1,1,2,7,1,0,0,0,0,0,3,0,1,1,0,0,0,2,0,0,0,24,0,3,0,0,0,18,0,23,1,5,0,11,0,10,0,74,0,0,11,0,4,1,0,0,10,3,1,5,0,1,2,0,0,28,0,6,3,0,0,1
septin,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
clinical,4,0,1,0,5,0,0,1,2,0,3,2,12,0,0,0,2,1,4,5,2,1,5,1,2,0,0,13,11,2,5,5,0,0,3,1,0,3,3,6,0,5,0,0,0,0,0,0,15,0,0,6,0,12,0,3,1,5,0,4,0,0,0,12,0,14,0,1,0,3,2,19,0,41,12,0,17,0,4,0,0,7,37,1,3,0,0,0,5,0,2,3,0,4,4,7,1,0
lipid,4,0,0,0,3,0,0,0,0,0,0,0,16,3,0,0,1,0,2,5,1,0,0,0,0,0,0,1,3,1,0,2,0,0,1,0,1,0,12,2,1,1,0,0,0,1,2,0,1,2,1,2,2,25,0,0,0,3,0,2,0,0,0,24,0,18,1,0,0,3,1,9,0,109,0,0,2,2,2,0,0,0,23,1,1,1,0,1,3,1,1,4,0,1,2,1,0,0
breast,0,0,2,1,0,0,0,0,3,0,0,2,6,0,0,0,2,0,7,5,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,1,3,6,4,2,0,0,0,0,0,0,0,0,5,0,0,5,2,6,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,6,7,3,0,13,1,0,20,0,0,0,0,0,12,2,3,0,0,0,0,0,0,3,0,0,7,0,1,0
catalytic,1,1,0,0,14,0,2,0,23,0,0,0,12,2,2,1,1,2,15,6,1,0,2,0,5,1,0,4,3,1,2,4,0,0,0,0,0,1,1,8,0,2,0,1,0,1,4,0,0,0,0,1,0,25,1,2,0,1,0,5,0,0,1,17,2,13,0,3,0,13,1,12,0,10,5,0,67,0,2,0,0,0,22,1,2,2,0,0,1,0,0,10,1,3,20,0,0,0
zebrafish,1,1,0,1,0,1,0,0,0,0,0,6,7,0,0,2,0,0,7,2,1,0,5,0,0,0,4,1,7,1,2,2,2,0,1,0,5,1,9,2,2,3,5,0,0,0,0,0,1,2,1,4,0,3,0,6,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,16,0,43,3,0,16,1,0,0,0,0,27,0,2,0,0,0,0,1,0,0,0,0,5,0,0,0
migration,1,0,0,1,1,0,0,1,0,0,1,1,7,0,0,0,15,2,6,1,0,0,2,2,0,0,0,2,12,4,1,0,1,0,1,0,0,5,10,4,1,6,0,0,0,0,0,0,4,0,0,10,2,8,0,1,0,0,0,0,0,0,0,2,0,5,0,0,0,0,3,9,0,21,7,0,24,1,0,0,0,0,29,1,13,0,0,0,2,0,1,1,0,0,6,1,0,0
ubiquitin,2,0,1,0,1,0,0,0,13,0,0,2,17,0,0,0,1,3,4,0,0,0,0,2,0,0,0,1,5,0,12,0,10,0,0,10,0,0,9,95,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,2,3,0,5,0,0,10,0,0,0,0,0,7,0,3,1,0,0,0,3,0,0,0,0,2,0,0,0
heart,2,0,0,0,0,0,0,2,1,0,1,2,14,0,0,1,0,1,5,5,0,0,4,0,0,0,1,5,1,2,1,4,0,0,0,0,0,3,6,5,0,2,0,0,0,0,1,0,4,2,1,2,1,7,0,0,0,5,0,0,0,0,0,6,0,9,1,3,0,2,0,47,0,42,1,4,12,0,0,3,0,0,22,2,1,2,0,0,4,0,0,0,0,0,3,0,0,1
embryonic,1,0,1,1,4,0,1,0,1,0,0,3,11,0,0,1,6,0,8,5,0,1,9,2,0,0,1,15,15,0,4,2,5,0,1,0,0,2,14,11,2,6,2,0,0,0,0,0,2,1,2,4,2,13,0,4,0,0,0,0,0,0,0,0,1,11,0,7,0,3,2,18,0,56,2,0,40,0,0,0,0,1,31,0,2,1,0,1,1,0,1,0,1,0,7,0,0,1
translation,9,0,1,1,5,0,0,0,6,0,1,0,21,2,0,0,0,1,3,3,0,0,0,2,2,1,1,2,41,0,0,2,0,0,0,3,0,1,4,17,0,0,0,0,0,1,4,0,0,1,1,1,0,2,0,1,0,1,0,0,0,0,0,5,0,26,2,4,0,2,0,13,0,11,0,0,17,0,28,0,0,7,10,2,0,2,0,0,0,0,1,3,0,16,4,0,0,0
cdk2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drug,8,0,2,0,2,0,0,0,9,0,0,3,16,1,0,0,3,1,7,4,0,0,0,6,0,0,1,3,5,1,1,1,0,0,0,0,0,1,1,13,4,4,0,0,1,1,4,1,2,1,0,2,0,6,0,1,0,1,0,1,0,0,0,9,0,25,1,2,0,22,0,9,0,32,1,0,27,2,14,1,0,0,22,3,2,3,0,2,0,0,1,0,0,0,4,2,1,1
surface,9,0,1,1,4,0,0,0,6,0,1,4,25,0,0,0,4,0,5,10,0,0,4,4,4,0,1,2,2,4,0,3,2,0,1,3,1,0,10,12,3,12,0,2,0,2,0,0,3,0,1,8,0,12,1,2,0,0,0,0,0,0,0,4,1,30,0,4,1,0,0,18,1,11,5,0,7,3,5,1,0,3,47,2,5,1,0,2,0,0,1,5,1,1,2,1,0,0
transition,6,0,0,0,0,0,0,1,5,0,0,2,17,0,0,0,1,6,10,5,1,0,0,2,1,0,0,8,7,1,3,1,0,0,0,3,0,1,6,10,0,0,1,1,0,0,1,0,0,0,0,2,0,7,0,3,1,2,0,0,0,0,0,8,0,18,1,2,0,0,2,22,0,21,2,0,82,0,3,0,0,2,22,1,3,2,0,0,2,1,1,16,0,0,3,0,0,0
developmental,5,0,1,0,3,0,0,0,6,0,0,3,18,0,0,5,2,2,24,8,0,0,3,2,0,0,1,4,15,3,2,0,0,0,1,6,0,1,12,16,1,4,2,0,0,0,3,0,2,1,0,3,0,7,0,3,0,0,0,0,1,0,0,5,0,19,7,8,0,1,1,20,0,41,2,0,40,1,0,0,0,0,38,1,5,1,0,0,0,2,0,0,1,2,8,0,0,1
coli,29,1,1,0,2,0,1,2,2,0,0,0,10,0,0,0,0,0,1,26,0,0,0,1,7,0,0,3,5,0,0,1,0,0,0,0,2,0,0,4,0,2,0,0,1,0,11,0,0,0,2,1,0,9,1,0,0,26,0,9,0,0,0,0,0,18,1,1,1,6,0,9,0,2,0,0,7,0,47,0,0,0,6,0,3,8,0,1,0,0,0,43,0,1,4,0,0,0
cardiac,2,0,0,0,0,0,0,1,1,0,0,2,7,0,0,1,0,0,2,2,0,0,2,0,0,0,1,2,1,0,1,2,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,2,0,4,1,1,0,0,3,81,0,19,0,0,2,1,0,0,0,0,10,1,1,0,0,0,3,0,0,0,0,0,1,0,0,0
cerevisiae,11,0,3,0,10,0,0,0,6,0,0,0,29,0,0,5,0,4,7,5,0,1,1,3,0,0,0,0,4,0,0,0,0,0,0,3,1,0,30,8,2,0,0,1,1,3,1,5,0,0,0,0,0,3,0,1,0,0,0,4,0,0,0,8,0,43,4,9,0,0,0,18,0,0,0,0,69,0,5,0,0,0,37,0,1,1,0,1,0,5,0,3,0,2,12,7,0,0
secretion,8,0,1,0,3,0,0,0,6,0,1,2,22,2,0,0,1,1,4,5,1,0,1,0,1,0,2,12,3,2,0,5,0,0,0,0,0,2,7,6,1,3,0,1,1,1,0,0,0,0,5,0,1,6,0,0,0,1,0,0,0,0,0,3,0,18,1,0,1,0,0,6,0,43,4,0,10,0,1,0,0,2,36,1,1,0,0,1,1,1,2,6,0,0,1,1,0,0
phosphorylated,1,0,1,1,1,0,0,1,2,0,0,1,7,0,0,0,4,3,7,9,1,0,1,0,0,0,0,0,12,1,1,0,1,0,0,1,0,0,9,7,5,2,0,0,0,1,0,0,0,0,0,2,2,5,0,1,0,0,0,0,0,0,0,3,0,8,2,3,0,0,0,23,0,19,1,0,107,1,0,0,0,1,15,1,2,2,0,0,1,0,7,4,0,2,4,0,0,0
lung,6,0,0,0,1,0,1,1,3,0,0,4,8,0,0,0,5,1,2,6,0,0,1,1,0,0,0,6,4,1,2,3,0,0,0,1,0,4,3,5,0,5,0,0,0,0,0,0,12,1,1,7,1,8,0,1,0,2,0,1,0,1,0,0,0,9,0,1,0,3,9,2,0,14,7,0,8,0,1,1,0,3,24,1,1,0,0,0,5,0,0,0,0,0,6,0,0,0
biochemical,7,0,0,0,10,0,2,0,7,0,2,2,24,3,0,0,4,0,18,15,2,0,0,2,2,0,1,0,1,0,4,4,0,0,1,3,1,2,8,8,2,3,1,0,0,4,3,2,2,3,1,2,0,10,1,2,0,5,0,6,0,0,1,11,0,27,3,2,0,0,0,23,0,22,5,1,25,2,6,0,0,1,52,1,5,2,1,0,1,2,1,2,1,4,8,3,0,0
cytoplasmic,5,0,0,2,10,0,0,1,9,0,0,0,24,0,0,1,3,2,10,5,1,0,5,2,0,0,0,9,30,7,1,1,1,0,1,0,1,2,4,7,3,0,0,1,0,1,1,0,5,0,0,6,5,7,0,6,0,7,0,0,0,0,0,1,0,27,1,0,1,1,4,15,0,14,0,0,18,2,3,0,0,7,17,0,5,1,1,2,0,3,2,1,0,0,16,2,1,0
synaptic,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,20,0,1,1,0,0,1,0,0,0,0,0,2,2,1,0,5,0,0,0,0,1,12,0,8,0,0,1,0,0,0,0,0,0,0,0,5,6,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,16,0,5,1,0,15,25,0,0,0,0,16,0,1,0,0,0,0,0,39,0,0,0,0,1,0,0
male,1,0,0,0,1,0,0,0,4,0,0,3,20,0,0,1,0,2,4,5,0,2,4,4,0,0,2,4,14,3,4,12,0,0,0,1,0,3,7,4,2,4,0,0,0,0,0,0,8,0,0,0,0,11,0,7,0,0,0,0,0,0,0,10,0,21,0,4,0,5,1,6,0,34,0,0,16,0,0,0,0,0,6,3,3,0,0,1,2,1,0,2,0,0,0,1,0,0
cyclin-dependent,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,340,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
grow,14,0,0,0,3,1,0,0,6,0,0,0,16,0,0,1,5,2,13,11,0,1,0,4,7,0,0,2,6,3,0,0,0,0,0,0,2,1,10,7,2,0,0,0,0,0,2,1,0,1,1,1,4,8,0,0,0,12,0,4,0,0,0,6,0,27,2,2,0,2,1,22,0,16,1,0,32,0,4,0,0,1,23,6,6,2,0,1,0,0,2,22,0,2,5,2,0,0
epithelial,2,0,3,0,1,0,0,0,0,0,0,4,14,0,0,0,3,1,3,2,1,0,4,0,0,0,1,4,8,1,0,9,0,0,0,0,0,2,6,15,3,6,0,2,0,0,0,0,3,0,0,8,0,3,0,5,0,0,0,1,0,2,0,1,0,11,1,2,0,0,4,8,0,29,2,0,11,6,2,0,0,1,37,2,5,0,0,0,2,0,0,1,0,0,3,0,0,0
cdk5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
pathogen,26,0,0,0,4,0,0,0,2,0,0,4,27,0,0,1,0,3,14,13,0,0,0,4,2,0,0,8,4,2,1,1,1,0,0,0,0,0,15,21,0,2,0,0,0,0,5,0,0,0,2,0,0,6,0,1,0,7,0,6,0,0,0,5,0,35,3,0,0,1,0,19,0,2,0,1,16,1,6,0,0,6,28,3,0,7,0,0,0,0,0,19,1,0,4,0,0,0
polymerase,5,0,1,0,5,0,0,0,4,0,0,1,14,1,0,0,1,1,9,4,0,0,0,3,1,0,1,5,13,1,0,0,0,0,1,0,0,2,3,4,3,0,0,0,0,0,0,0,5,0,1,3,1,5,0,0,0,2,0,0,0,0,0,4,0,13,2,5,1,4,1,10,0,26,0,1,127,1,7,0,0,2,10,1,1,2,0,0,1,0,0,1,0,0,11,1,0,0
glucose,5,0,0,0,1,0,0,0,0,0,0,1,9,1,0,0,1,3,4,2,0,0,0,0,3,0,2,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,1,0,0,0,11,0,13,1,1,0,1,0,2,0,66,1,0,8,0,0,0,0,0,19,2,0,0,0,0,2,0,0,16,1,0,2,0,0,0
thyroid,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,3,0,0,0,1,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
immune,5,0,3,0,3,0,0,0,6,0,0,16,32,1,0,1,8,0,6,5,0,0,0,1,2,0,1,28,5,0,4,7,0,1,0,0,0,1,1,20,0,3,0,0,0,1,2,0,10,0,0,0,0,8,1,0,2,1,0,0,0,0,0,2,0,32,1,0,0,0,1,5,0,14,0,0,8,1,3,0,0,13,15,0,1,1,0,0,0,0,1,4,1,0,3,0,0,1
maturation,3,0,0,0,8,0,0,0,5,0,0,0,14,0,1,0,1,1,7,2,0,0,0,1,0,0,0,16,9,0,0,6,2,0,0,0,6,1,11,9,1,2,1,0,0,0,1,0,1,0,4,2,1,5,6,1,0,2,0,0,0,0,2,2,0,16,0,3,0,0,0,7,0,15,0,0,29,3,1,0,0,1,31,1,1,0,0,0,0,3,2,0,0,0,3,0,0,0
gtpase,1,0,0,0,2,0,0,0,1,0,0,0,7,0,0,0,4,0,1,3,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,27,1,0,0,0,4,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,4,0,0,0,0,4,1,1,0,0,0,205,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0
microtubule,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,6,8,2,5,0,1,3,2,0,0,0,4,2,26,1,0,0,0,0,0,0,0,20,1,1,0,0,1,0,1,0,0,0,0,0,0,8,1,0,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,6,12,1,0,0,0,21,0,0,0,1,0,19,0,14,0,0,0,0,7,0,0,0,0,0,0,0,0
septins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
channel,3,0,0,0,1,0,0,0,6,0,0,0,10,0,0,0,5,0,18,2,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,4,2,6,0,1,1,0,0,0,0,0,1,0,3,9,0,1,0,1,0,0,1,0,0,2,0,9,0,0,0,0,1,31,0,6,0,0,1,3,6,0,0,1,15,0,0,0,0,0,0,0,3,1,0,0,2,2,0,1
sensitivity,7,0,1,2,4,0,0,0,3,0,0,2,9,0,0,0,0,1,36,1,0,2,1,0,1,0,1,1,3,0,0,1,0,0,0,0,2,0,4,6,3,0,0,0,0,0,0,0,8,0,0,3,0,10,0,1,0,1,0,2,0,0,0,11,0,12,2,0,0,2,0,33,0,24,0,0,14,2,3,0,0,2,14,0,1,0,0,0,3,0,1,3,0,1,3,2,0,0
andor,12,1,4,0,5,0,0,0,16,0,1,3,21,0,0,0,2,2,8,9,1,0,2,8,1,0,0,10,13,3,3,5,2,0,0,1,1,2,5,10,4,3,0,0,0,2,6,0,3,1,1,1,3,14,0,2,0,6,0,2,1,0,1,4,0,22,1,2,0,4,0,15,0,38,2,0,18,0,4,1,0,0,20,1,2,1,0,0,3,0,3,1,0,3,8,2,0,1
antigen,8,0,1,0,1,0,0,0,5,0,1,6,20,1,0,1,5,0,1,2,0,0,2,1,2,0,0,12,3,0,0,2,0,0,1,1,0,1,3,6,1,3,0,0,0,0,5,0,53,0,0,9,1,5,1,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,4,2,0,7,1,0,5,1,3,0,0,2,7,2,0,2,0,0,0,0,0,3,0,0,1,0,0,0
elongation,1,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,2,1,5,2,0,0,1,3,0,0,0,0,5,2,0,0,0,0,2,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,14,0,1,0,1,0,5,0,0,1,0,95,0,7,0,0,1,13,0,6,0,0,0,0,0,2,0,0,2,4,0,0,0
blood,6,0,1,0,0,0,0,2,5,0,0,3,26,1,0,1,2,0,2,0,0,1,2,2,0,0,3,6,3,2,1,4,1,0,0,0,0,2,0,5,6,7,0,0,0,0,0,0,2,1,1,14,0,5,0,0,0,0,0,1,0,0,0,12,0,37,2,0,0,1,5,8,0,25,3,0,5,0,2,0,0,1,17,1,1,0,0,0,8,0,1,3,1,0,4,0,0,0
transgenic,0,0,0,0,1,0,0,0,1,0,0,3,22,0,0,0,3,0,26,6,0,0,3,0,0,0,0,2,22,1,1,2,1,0,0,1,0,0,2,6,1,1,1,0,0,0,0,0,1,1,1,2,3,5,0,0,0,0,0,0,0,0,0,2,0,26,5,1,1,1,2,17,0,23,1,0,18,1,0,1,0,0,24,0,1,0,0,0,4,0,2,0,0,0,4,0,0,0
oxidative,11,0,0,0,1,0,0,1,3,0,0,0,24,2,0,0,0,1,14,10,0,1,0,3,0,0,0,4,6,1,0,2,0,0,0,0,0,0,2,3,2,2,0,0,2,0,0,0,0,0,4,0,0,4,0,0,0,5,0,1,0,0,0,8,0,28,4,1,1,1,2,8,0,29,0,0,7,0,6,2,0,0,16,10,0,0,0,0,6,0,0,0,0,0,5,1,0,0
chromatin,2,0,0,2,1,0,1,1,2,0,0,5,12,0,0,1,0,1,7,1,0,0,0,21,0,0,0,1,7,0,1,1,0,0,4,1,0,0,0,1,3,0,0,0,0,0,1,0,5,0,1,2,0,4,0,0,0,2,0,0,0,0,0,3,0,15,3,1,0,0,0,4,3,53,0,0,34,0,1,0,2,2,7,1,0,0,0,0,0,2,1,0,0,0,30,0,0,0
replication,16,0,0,4,2,0,0,0,7,0,0,3,11,1,0,1,0,1,5,6,0,3,0,2,3,0,0,4,3,2,0,0,1,0,0,1,0,0,3,14,1,0,0,0,0,0,1,0,1,1,0,0,0,2,0,1,0,5,1,2,0,0,0,2,0,13,1,0,0,1,1,6,0,2,1,0,36,0,3,0,0,15,12,0,0,2,0,0,0,2,3,4,0,2,6,0,1,0
macrophage,8,0,5,0,2,0,0,1,4,0,2,12,2,0,0,0,2,1,2,3,0,0,0,1,1,0,0,18,7,0,0,4,1,0,0,0,0,3,3,9,0,2,0,0,0,0,0,0,0,0,0,3,0,3,0,0,1,1,0,0,0,0,0,2,0,3,0,0,0,2,1,5,0,22,0,0,5,0,1,0,0,7,10,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0
pathogenesis,9,0,1,0,4,0,0,0,6,1,2,7,23,2,0,0,5,3,3,5,0,0,2,0,3,0,0,7,22,2,2,0,0,0,0,1,0,1,12,11,3,2,0,0,1,0,3,0,1,4,0,2,6,5,0,3,0,1,0,1,0,0,0,9,0,23,1,2,1,0,4,12,0,16,0,1,15,2,3,0,0,8,28,1,2,1,0,0,6,0,3,8,0,0,4,1,0,0
root,1,0,0,0,0,0,0,0,5,0,0,0,15,1,0,0,0,1,28,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,1,4,13,1,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,0,0,0,1,0,19,2,4,0,0,0,11,0,3,0,0,14,0,0,0,0,0,10,2,0,0,0,0,1,1,0,1,0,3,1,0,0,1
population,5,0,1,0,6,0,0,1,4,0,0,8,14,1,0,0,0,1,4,5,2,1,7,2,2,0,0,6,12,3,2,1,1,0,0,0,0,1,3,6,1,2,0,0,0,2,0,0,7,1,0,1,1,5,0,1,0,3,0,1,1,0,0,10,0,13,2,0,1,7,0,12,0,20,2,0,17,1,5,0,0,3,20,2,4,1,0,1,0,0,2,7,0,0,2,0,1,0
sperm,1,0,0,0,0,0,1,0,3,0,0,0,12,0,0,0,0,2,1,8,0,0,0,2,0,0,0,1,3,5,1,4,0,0,0,0,1,0,9,0,0,1,0,0,0,0,0,0,2,0,0,0,1,33,0,9,0,0,0,0,0,0,0,1,0,12,1,1,0,0,0,5,0,0,0,0,4,0,0,0,0,0,2,2,0,0,0,1,0,0,0,2,0,0,1,0,0,0
depletion,3,0,0,4,3,0,0,0,3,0,0,3,15,0,1,0,10,7,8,2,0,3,2,2,1,0,0,5,9,1,3,2,2,0,0,2,0,0,18,6,2,2,2,1,0,1,1,0,1,1,1,1,2,8,0,4,0,0,1,0,0,0,0,1,0,17,0,4,0,0,9,13,2,7,2,0,26,2,2,0,0,0,29,0,6,0,0,0,0,5,0,2,0,0,3,2,0,0
