,Dnaja3,Camk2n1,Fau,Terf2,Dis3l2,Tmem147,Abhd14a,Sh3bgrl2,Psma3l,Uqcr11,Tmem126a,Irf4,Hyou1,Mgst3,LOC100909510,Rbm22,Dbnl,Mad2l1,Ppm1b,Nme7,Trappc6a,Nabp2,Invs,Hist1h4m,Fuca2,Hypk,Crh,Rnh1,Hnrnpa3,Klc1,Usp9x,Lcn2,Spsb2,LOC498154,Zmynd11,Gps1,Paqr7,Tmsb4x,Sept7,Rps27a,Add3,Spint2,Twsg1,Rab3il1,Mrps21,Trappc2b,Nsun5,Ost4,Maged2,Sprn,Erp44,Mcam,Hap1,Plcd1,Pomp,Lrrc46,Nmi,Ndufs8,Rpp40,Esd,Mgarp,RGD735065,Cox20,Cpt2,Thumpd3,Hspa1b,Edf1,Sf3b6,Tmem59l,Nat2,Rassf1,Myl6,Cenpk,Rarg,Plod2,Ndufb4,Cdk10,Shank2,Mrpl4,Ndufa2,Mis18bp1,Ifit3,Hras,Cox5b,Diaph3,Uck2,Gemin8,Mfsd10,Ddah2,Chmp1b,Syn2,Gnpda2,Arsk,Eif2b2,Carm1,Cln3,Tmem170a,Tmem50a
hormone,0,0,0,0,0,0,0,0,1,0,0,1,8,0,0,0,1,0,41,0,0,0,0,0,0,0,11,3,5,0,0,3,0,0,0,3,6,1,0,4,1,0,0,0,0,0,0,0,1,0,1,1,0,7,0,0,0,0,0,0,1,0,0,3,0,8,0,2,0,0,0,5,0,219,1,0,9,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,1,0,17,0,0,0
parasite,3,0,0,0,1,0,0,0,14,0,0,0,34,1,0,2,4,0,5,10,0,0,0,13,0,0,0,1,1,2,0,0,1,0,0,0,0,0,2,13,0,7,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,67,3,4,0,0,0,19,0,1,0,1,12,0,0,0,0,0,15,1,1,2,0,0,0,1,0,3,0,0,8,0,0,0
mitochondrial,10,0,1,0,1,0,0,0,5,1,8,1,14,0,0,0,0,0,4,12,0,1,0,1,0,0,0,6,5,3,0,2,0,0,0,0,0,1,3,5,0,1,0,0,3,0,1,0,1,0,1,0,5,0,0,0,0,13,1,0,4,0,5,36,0,30,0,1,0,2,3,3,0,23,0,7,9,0,12,3,0,2,6,15,1,0,0,1,1,0,1,0,0,0,2,3,0,0
drosophila,13,1,0,0,6,1,0,0,6,0,0,0,23,0,0,3,3,4,5,3,0,3,6,6,1,0,0,0,42,3,4,0,7,0,0,2,0,0,11,5,7,2,9,0,1,1,0,0,0,0,1,0,2,6,1,3,0,1,0,0,0,0,0,2,0,23,5,12,1,1,1,19,0,23,2,0,42,0,1,0,0,0,42,0,17,1,0,1,0,2,10,0,0,0,8,3,0,1
shock,41,1,1,1,1,0,0,0,4,0,0,0,196,0,0,1,0,1,7,3,0,0,0,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,3,0,2,1,0,1,0,0,1,2,0,1,0,0,0,1,0,198,2,5,0,0,0,4,0,2,0,0,8,0,5,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
histone,1,0,1,1,0,0,0,1,2,0,0,1,11,0,0,0,0,1,1,1,0,0,1,42,0,0,0,1,2,0,2,0,0,0,3,0,0,0,0,7,3,1,0,0,0,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,12,2,0,0,0,2,2,2,36,0,0,60,0,1,0,2,0,3,1,1,0,0,0,0,1,1,0,0,0,57,0,0,0
arginine,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,0,1,0,9,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,23,1,0,4,0,0,0,0,1,15,1,0,0,0,0,11,0,0,0,0,0,171,3,0,0
phosphatase,1,0,0,0,1,0,0,0,3,0,0,1,6,0,0,0,2,1,201,3,0,0,2,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,2,4,1,1,0,0,0,0,1,0,0,0,0,0,0,14,0,13,0,1,0,1,0,0,0,0,0,7,0,1,0,0,0,14,0,13,1,0,29,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
neuronal,2,3,0,1,2,0,0,0,2,0,0,1,10,0,0,0,17,2,3,0,1,0,1,0,1,3,0,1,30,5,4,2,4,0,1,0,1,5,17,2,4,1,0,0,0,0,0,0,4,3,0,1,20,10,0,1,0,2,0,0,1,0,0,9,0,10,0,4,2,0,2,9,0,30,0,1,50,11,0,1,0,2,43,0,5,0,0,0,2,0,18,1,0,1,5,18,0,1
fxr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
